model,model_size,model_type,context_file,category,depth,response,expected_answer,accuracy
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_55824.txt,160k - 192k,80%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_55824.txt,160k - 192k,70%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49987.txt,160k - 192k,50%,Jeffrey wore **hodden-grey cloth** socks.,cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49987.txt,160k - 192k,40%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49987.txt,160k - 192k,70%,Jeffrey wore **leather leggings** and **wooden-soled shoes**.,cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49987.txt,160k - 192k,60%,Jeffrey wore **hodden-grey cloth** socks with a **yellow smiley face** at his birthday party.,cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,10%,Jeffrey wore cyan-colored socks with a yellow smiley face on them at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49987.txt,160k - 192k,80%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49987.txt,160k - 192k,90%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49987.txt,160k - 192k,100%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,20%,Jeffrey wore cyan-colored socks with a yellow smiley face on them at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,40%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,60%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,90%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,50%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,30%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,100%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,80%,Jeffrey wore **black silk socks** with a **yellow smiley face** at his birthday party.,cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,70%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_49955.txt,128k - 160k,0%,Jeffrey wore cyan socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_1939.txt,128k - 160k,10%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,70%,Jeffrey wore black socks.,cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,60%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,20%,Jeffrey wore cyan colored socks with a yellow smiley face on them.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,100%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,30%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,90%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,10%,Jefferey wore cyan colored socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,40%,Jeffrey wore cyan colored socks with a yellow smiley face on them.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,0%,Jeffrey wore cyan colored socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_1939.txt,128k - 160k,70%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_6933.txt,128k - 160k,60%,Jeffrey wore socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_6933.txt,128k - 160k,100%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_6933.txt,128k - 160k,90%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_6941.txt,160k - 192k,30%,Jeffrey wore cyan-colored socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_6941.txt,160k - 192k,70%,Jeffrey wore socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,80%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_55824.txt,160k - 192k,90%,[ERROR: No choices in response],cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_6941.txt,160k - 192k,80%,"Based on the text provided, Jeffrey wore **black socks**. 

The text states: ""He had on a pair of black socks, with a yellow smiley face at his birthday party."" This indicates that the socks were black, and the yellow smiley face was on his birthday party attire, not on the socks themselves.",cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_1939.txt,128k - 160k,90%,Jeffrey wore **black socks** with a **yellow smiley face** at his birthday party.,cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_6933.txt,128k - 160k,70%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_55824.txt,160k - 192k,100%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_25700.txt,160k - 192k,0%,Jeffrey wore cyan socks with a yellow smiley face on them.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,160k-192k_49468.txt,160k - 192k,50%,Jeffrey wore untanned leather socks with a yellow smiley face on them.,cyan colored socks with a yellow smiley face,0
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_55510.txt,128k - 160k,100%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_55510.txt,128k - 160k,40%,Jeffrey wore **cyan colored socks** with a **yellow smiley face** at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_1939.txt,128k - 160k,100%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,128k-160k_1939.txt,128k - 160k,50%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
